teamA,teamB,diff
2468,33,1
2468,1023,2
33,1023,1
2767,3414,1
2767,3940,2
3414,3940,1
829,45,1
829,234,2
45,234,1
3276,5712,1
3276,868,2
5712,868,1
2056,4967,1
2056,321,2
4967,321,1
1706,2481,1
1706,910,2
2481,910,1
1987,7028,1
1987,1741,2
7028,1741,1
118,5010,1
118,6517,1
5010,6517,0
